Row,Person,Total Gross,# Movies, Average,#1 Picture,Gross
1,Steven Spielberg,"$4,445.20 ",31,$143.40 ,E.T.,$435.10 
2,Michael Bay,"$2,325.30 ",13,$178.90 ,Transformers 2,$402.10 
3,Peter Jackson,"$2,134.70 ",12,$177.90 ,Return of the King,$377.80 
4,Robert Zemeckis,"$2,091.90 ",18,$116.20 ,Forrest Gump,$330.30 
5,James Cameron,"$1,974.30 ",9,$219.40 ,Avatar,$760.50 
6,Christopher Nolan,"$1,925.70 ",11,$175.10 ,The Dark Knight,$534.90 
7,Ron Howard,"$1,896.00 ",24,$79.00 ,The Grinch,$260.00 
8,Tim Burton,"$1,840.20 ",18,$102.20 ,Alice in Wonderland,$334.20 
9,Clint Eastwood,"$1,816.00 ",34,$53.40 ,American Sniper,$350.10 
10,Chris Columbus,"$1,750.30 ",15,$116.70 ,Harry Potter / Sorcerer's Stone,$317.60 
11,George Lucas,"$1,743.90 ",6,$290.70 ,The Phantom Menace,$474.50 
12,J.J. Abrams,"$1,684.20 ",5,$336.80 ,Star Wars: The Force Awakens,$936.70 
13,Ridley Scott,"$1,635.90 ",23,$71.10 ,The Martian,$228.40 
14,David Yates,"$1,631.60 ",6,$271.90 ,Harry Potter / Deathly Hallows (P2),$381.00 
15,Gore Verbinski,"$1,529.40 ",10,$152.90 ,Dead Man's Chest,$423.30 
16,Sam Raimi,"$1,526.70 ",14,$109.00 ,Spider-Man,$403.70 
17,Francis Lawrence,"$1,434.60 ",6,$239.10 ,Catching Fire,$424.70 
18,Jon Favreau,"$1,334.50 ",8,$166.80 ,The Jungle Book,$364.00 
19,Lee Unkrich,"$1,331.60 ",4,$332.90 ,Toy Story 3,$415.00 
20,Roland Emmerich,"$1,292.20 ",12,$107.70 ,Independence Day,$306.20 
21,M. Night Shyamalan,"$1,233.40 ",11,$112.10 ,Sixth Sense,$293.50 
22,Bill Condon,"$1,232.60 ",9,$137.00 ,Beauty and the Beast,$504.00 
23,Chris Renaud,"$1,202.00 ",4,$300.50 ,The Secret Life of Pets,$368.40 
24,Pierre Coffin,"$1,188.60 ",4,$297.10 ,Despicable Me 2,$368.10 
