,odid,display_name,od_name,production_year,running_time,sequel,opening_weekend_revenue,opening_weekend_theaters,maximum_theaters,theatrical_engagements,production_budget,domestic_box_office,international_box_office,inflation_adjusted_domestic_box_office,name_length,source_category.fiction_tale_novel,source_category.music_dance,source_category.original_screenplay,source_category.others,source_category.play_TV_movie_film,source_category.real_factual,source_category.NA,production_companies_size.Big_15,production_companies_size.Extra_small,production_companies_size.Large,production_companies_size.Medium,production_companies_size.NULL,production_companies_size.Others,production_companies_size.Small,Rank.others.x,Rank.act_1000,Rank.act_250,Rank.act_500.x,Rank.act_750,genre.Action,genre.Adventure,genre.Comedy,genre.Concert/Performance,genre.Documentary,genre.Drama,genre.Horror,genre.Musical,genre.Others,genre.Thriller/Suspense,genre.Western,rating.G,rating.NC-17,rating.Not Rated,rating.Open,rating.PG,rating.PG-13,rating.R,Rank.others.y,Rank.dir_100,Rank.dir_20,Rank.dir_200,Rank.dir_500,Rank.dir_900,Rank.others
1,10100,Titanic,Titanic,1997,194,0,28638131,2674,3265,87202,200000000,658672302,1548943366,1147349023,7,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2,20100,The Dark Knight,Dark Knight The,2008,152,1,158411483,4366,4366,39170,185000000,533345358,469546000,626080555,15,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
3,30100,Star Wars Ep. IV: A New Hope,Star Wars Ep IV A New Hope,1977,119,0,1554475,43,2375,43684,11000000,460998007,325600000,1385311974,28,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
4,40100,Shrek 2,Shrek 2,2004,92,1,108037878,4163,4223,33603,70000000,441226247,495781885,598959298,7,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,0,1,0,0,0,0
5,50100,ET: The Extra-Terrestrial,ET The Extra Terrestrial,1982,114,0,11911430,1101,3010,62065,10500000,435110554,357854772,1133175867,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
6,60100,Star Wars Ep. I: The Phantom Menace,Star Wars Ep I The Phantom Menace,1999,133,1,64810970,2970,3126,47092,115000000,474544677,552500000,761329663,35,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
7,70100,Pirates of the Caribbean: Dead ManÍs Chest,Pirates of the Caribbean Dead Mans Chest,2006,151,1,135634554,4133,4133,34395,225000000,423315812,642900000,544817142,42,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
8,80100,Spider-Man,Spider Man,2002,121,0,114844116,3615,3876,31297,139000000,403706375,418000000,585756409,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
9,90100,Transformers: Revenge of the Fallen,Transformers Revenge of the Fallen,2009,149,1,108966307,4234,4293,28686,210000000,402111870,434407829,451973742,35,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
10,100100,Star Wars Ep. III: Revenge of the Sith,Star Wars Ep III Revenge of the Sith,2005,139,1,108435841,3661,3663,26895,115000000,380270577,468728300,500106226,38,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
