"","odid","display_name","od_name","production_year","running_time","sequel","distributor","opening_weekend_revenue","opening_weekend_theaters","maximum_theaters","theatrical_engagements","creative_type","production_method","genre","production_budget","domestic_box_office","international_box_office","inflation_adjusted_domestic_box_office","name_length","source_category","production_companies_size.Big_15","production_companies_size.Extra_small","production_companies_size.Large","production_companies_size.Medium","production_companies_size.NULL","production_companies_size.Others","production_companies_size.Small","Rank.others","Rank.top_1000","Rank.top_250","Rank.top_500","Rank.top_750"
"1",10100,"Titanic","Titanic",1997,194,0,"Paramount Pictures",28638131,2674,3265,87202,"Historical Fiction","Live Action","Thriller/Suspense",200000000,658672302,1548943366,1147349023,7,"original_screenplay",1,0,1,0,0,0,0,1,0,1,0,0
"2",20100,"The Dark Knight","Dark Knight The",2008,152,1,"Warner Bros.",158411483,4366,4366,39170,"Super Hero","Live Action","Action",185000000,533345358,469546000,626080555,15,"fiction_tale_novel",1,0,1,0,0,0,0,1,1,1,0,0
"3",30100,"Star Wars Ep. IV: A New Hope","Star Wars Ep IV A New Hope",1977,119,0,"20th Century Fox",1554475,43,2375,43684,"Science Fiction","Live Action","Adventure",11000000,460998007,325600000,1385311974,28,"original_screenplay",1,0,0,0,0,0,0,1,1,1,0,1
"4",40100,"Shrek 2","Shrek 2",2004,92,1,"Dreamworks SKG",108037878,4163,4223,33603,"Kids Fiction","Digital Animation","Adventure",70000000,441226247,495781885,598959298,7,"fiction_tale_novel",1,0,1,0,0,0,0,0,1,1,0,1
"5",50100,"ET: The Extra-Terrestrial","ET The Extra Terrestrial",1982,114,0,"Universal",11911430,1101,3010,62065,"Kids Fiction","Live Action","Drama",10500000,435110554,357854772,1133175867,25,"original_screenplay",1,0,0,0,0,0,0,1,0,1,0,0
"6",60100,"Star Wars Ep. I: The Phantom Menace","Star Wars Ep I The Phantom Menace",1999,133,1,"20th Century Fox",64810970,2970,3126,47092,"Science Fiction","Animation/Live Action","Adventure",115000000,474544677,552500000,761329663,35,"original_screenplay",1,0,1,0,0,0,0,1,0,1,0,1
"7",70100,"Pirates of the Caribbean: Dead Man’s Chest","Pirates of the Caribbean Dead Mans Chest",2006,151,1,"Walt Disney",135634554,4133,4133,34395,"Historical Fiction","Live Action","Adventure",225000000,423315812,642900000,544817142,42,"others",1,0,1,0,0,0,0,1,1,1,1,0
"8",80100,"Spider-Man","Spider Man",2002,121,0,"Sony Pictures",114844116,3615,3876,31297,"Super Hero","Live Action","Adventure",139000000,403706375,418000000,585756409,10,"fiction_tale_novel",1,0,1,0,0,0,0,0,1,1,1,0
"9",90100,"Transformers: Revenge of the Fallen","Transformers Revenge of the Fallen",2009,149,1,"Paramount Pictures",108966307,4234,4293,28686,"Science Fiction","Animation/Live Action","Action",210000000,402111870,434407829,451973742,35,"play_TV_movie_film",1,0,1,0,0,0,0,0,1,0,1,0
"10",100100,"Star Wars Ep. III: Revenge of the Sith","Star Wars Ep III Revenge of the Sith",2005,139,1,"20th Century Fox",108435841,3661,3663,26895,"Science Fiction","Animation/Live Action","Adventure",115000000,380270577,468728300,500106226,38,"original_screenplay",0,0,1,0,0,0,0,1,1,1,0,1
"11",110100,"The Lord of the Rings: The Return of the King","Lord of the Rings The Return of the King The",2003,201,1,"New Line",72629713,3703,3703,35419,"Fantasy","Animation/Live Action","Adventure",94000000,377845905,763557436,524448846,45,"fiction_tale_novel",0,0,1,0,0,0,0,0,1,1,1,1
"12",120100,"Spider-Man 2","Spider Man 2",2004,127,1,"Sony Pictures",88156227,4152,4166,29417,"Super Hero","Live Action","Adventure",200000000,373524485,410180516,507054974,12,"fiction_tale_novel",1,0,1,0,0,0,0,1,1,0,1,0
"13",130100,"The Passion of the Christ","Passion of the Christ The",2004,127,0,"Newmarket Films",83848082,3043,3408,35829,"Dramatization","Live Action","Drama",25000000,370782930,251637737,503311818,25,"others",0,0,1,1,0,0,0,1,0,0,0,0
"14",140100,"Jurassic Park","Jurassic Park",1993,126,0,"Universal",50159460,2404,2778,49159,"Science Fiction","Animation/Live Action","Action",63000000,395708305,643104279,760802636,13,"fiction_tale_novel",1,0,0,0,0,0,0,1,0,0,1,1
"15",150100,"The Lord of the Rings: The Two Towers","Lord of the Rings The Two Towers The",2002,179,1,"New Line",62007528,3622,3622,32379,"Fantasy","Animation/Live Action","Adventure",94000000,342548984,592150661,492516107,37,"fiction_tale_novel",0,0,1,0,0,0,0,0,1,1,1,1
"16",160100,"Finding Nemo","Finding Nemo",2003,100,0,"Walt Disney",70251710,3374,3425,50008,"Kids Fiction","Digital Animation","Adventure",94000000,380529370,555900000,518148559,12,"original_screenplay",1,0,0,0,0,0,0,1,1,1,0,0
"17",170100,"Spider-Man 3","Spider Man 3",2007,139,1,"Sony Pictures",151116516,4252,4324,27819,"Super Hero","Live Action","Adventure",258000000,336530303,554345000,412347448,12,"fiction_tale_novel",1,0,1,0,0,0,0,0,1,0,1,0
"18",180100,"Forrest Gump","Forrest Gump",1994,142,0,"Paramount Pictures",24450602,1595,2365,56286,"Historical Fiction","Live Action","Drama",55000000,330151138,349699499,677605996,12,"fiction_tale_novel",0,0,1,1,0,0,0,1,1,1,1,0
"19",190100,"The Lion King","Lion King The",1994,87,0,"Walt Disney",1586753,2,2624,59212,"Kids Fiction","Hand Animation","Adventure",79300000,422780140,564700000,761640898,13,"original_screenplay",1,0,0,0,0,0,0,1,0,1,0,1
"20",200100,"Shrek the Third","Shrek the Third",2007,92,1,"Paramount Pictures",121629270,4122,4172,28052,"Kids Fiction","Digital Animation","Adventure",160000000,322719944,484610992,395425740,15,"fiction_tale_novel",1,0,1,0,0,0,0,0,1,1,0,1
"21",210100,"Transformers","Transformers The",2007,142,0,"Paramount Pictures",70502384,4011,4050,25816,"Science Fiction","Animation/Live Action","Action",151000000,319246193,389026399,391169383,12,"play_TV_movie_film",1,0,1,0,0,0,0,1,1,0,1,0
"22",220100,"Iron Man","Iron Man",2008,126,0,"Paramount Pictures",102118668,4105,4154,33088,"Super Hero","Live Action","Action",186000000,318604126,266000000,374051130,8,"fiction_tale_novel",1,0,1,0,0,0,0,1,0,1,0,1
"23",230100,"Harry Potter and the Sorcerer’s Stone","Harry Potter and the Sorcerers Stone",2001,152,0,"Warner Bros.",90294621,3672,3672,36120,"Fantasy","Animation/Live Action","Adventure",125000000,317575550,657179821,472336516,37,"fiction_tale_novel",0,0,1,1,0,0,0,1,1,1,1,0
"24",240100,"Indiana Jones and the Kingdom of the Crystal Skull","Indiana Jones and the Kingdom of the Crystal Skull",2008,123,1,"Paramount Pictures",100137835,4260,4264,29717,"Historical Fiction","Live Action","Adventure",185000000,317023851,469534294,372306743,50,"original_screenplay",0,0,1,0,0,0,0,1,0,1,0,1
"25",250100,"The Lord of the Rings: The Fellowship of the Ring","Lord of the Rings The Fellowship of the Ring The",2001,179,0,"New Line",47211490,3359,3381,39234,"Fantasy","Animation/Live Action","Adventure",109000000,315544750,571666235,465453885,49,"fiction_tale_novel",NA,NA,NA,NA,NA,NA,NA,0,1,1,1,1
"26",260100,"Star Wars Ep. II: Attack of the Clones","Star Wars Ep II Attack of the Clones",2002,143,1,"20th Century Fox",80027814,3161,3161,24854,"Science Fiction","Animation/Live Action","Adventure",115000000,310676740,346018875,450775367,38,"original_screenplay",0,0,1,0,0,0,0,1,1,1,0,1
"27",270100,"Pirates of the Caribbean: At World’s End","Pirates of the Caribbean At Worlds End",2007,167,1,"Walt Disney",114732820,4362,4362,26611,"Historical Fiction","Live Action","Adventure",300000000,309420425,654000000,379129960,40,"others",1,0,1,0,0,0,0,0,1,1,1,0
"28",280100,"Star Wars Ep. VI: Return of the Jedi","Star Wars Ep VI Return of the Jedi",1983,133,1,"20th Century Fox",23019618,1002,2111,40286,"Science Fiction","Live Action","Adventure",32500000,309205079,263500000,784006776,36,"original_screenplay",0,0,1,0,0,0,0,1,1,1,0,1
"29",300100,"Pirates of the Caribbean: The Curse of the Black Pearl","Pirates of the Caribbean The Curse of the Black Pearl",2003,144,0,"Walt Disney",46630690,3269,3416,36876,"Fantasy","Live Action","Adventure",125000000,305411224,329542879,426967926,54,"others",1,0,1,0,0,0,0,0,1,1,1,0
"30",310100,"Harry Potter and the Half-Blood Prince","Harry Potter and the Half Blood Prince",2009,153,1,"Warner Bros.",77835727,4325,4455,27206,"Fantasy","Animation/Live Action","Adventure",250000000,301959197,633124489,339402135,38,"fiction_tale_novel",0,0,1,0,0,0,0,1,0,1,1,0
"31",320100,"The Sixth Sense","Sixth Sense The",1999,107,0,"Walt Disney",26681262,2161,2821,51740,"Fantasy","Live Action","Thriller/Suspense",40000000,293506292,379300000,485424724,15,"original_screenplay",0,0,1,0,0,0,0,1,1,1,0,0
"32",330100,"Harry Potter and the Order of the Phoenix","Harry Potter and the Order of the Phoenix",2007,138,1,"Warner Bros.",77108414,4285,4285,26297,"Fantasy","Animation/Live Action","Adventure",150000000,292004738,650939197,357790688,41,"fiction_tale_novel",0,0,1,0,0,0,0,1,0,1,1,0
"33",340100,"Up","Up",2009,89,0,"Walt Disney",68108790,3766,3886,30276,"Fantasy","Digital Animation","Adventure",175000000,293004164,438538457,329336681,2,"original_screenplay",1,0,0,0,0,0,0,1,0,1,0,0
"34",350100,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe","Chronicles of Narnia The Lion the Witch and the Wardrobe The",2005,140,0,"Walt Disney",65556312,3616,3853,33654,"Fantasy","Animation/Live Action","Adventure",180000000,291710957,428828615,381557539,62,"fiction_tale_novel",1,0,1,0,0,0,0,1,0,0,1,0
"35",360100,"Star Wars Ep. V: The Empire Strikes Back","Star Wars Ep V The Empire Strikes Back",1980,124,1,"20th Century Fox",4910483,126,2322,30394,"Science Fiction","Live Action","Adventure",23000000,290271960,243900000,814319243,40,"original_screenplay",0,0,1,0,0,0,0,1,1,1,0,1
